month_end,condition,demographics_type,demographics_values,rate_per_100000_visits
2019-07,Anxiety Disorders,Age,65+ years,2683
2019-07,Anxiety Disorders,Age,All,2921
2019-06,Anxiety Disorders,Age,12-17 years,2057
2019-06,Anxiety Disorders,Age,18-34 years,3255
2019-06,Anxiety Disorders,Age,35-64 years,3531
2019-06,Anxiety Disorders,Age,65+ years,2645
2019-06,Anxiety Disorders,Age,All,2809
2019-05,Anxiety Disorders,Age,12-17 years,2228
2019-05,Anxiety Disorders,Age,18-34 years,3287
2019-05,Anxiety Disorders,Age,35-64 years,3522
2019-05,Anxiety Disorders,Age,65+ years,2602
2019-05,Anxiety Disorders,Age,All,2768
2019-04,Anxiety Disorders,Age,12-17 years,2267
2019-04,Anxiety Disorders,Age,18-34 years,3266
2019-04,Anxiety Disorders,Age,35-64 years,3520
2019-04,Anxiety Disorders,Age,65+ years,2593
2019-04,Anxiety Disorders,Age,All,2749
2019-03,Anxiety Disorders,Age,12-17 years,2158
2019-03,Anxiety Disorders,Age,18-34 years,3190
2019-03,Anxiety Disorders,Age,35-64 years,3484
2019-03,Anxiety Disorders,Age,65+ years,2563
2019-03,Anxiety Disorders,Age,All,2677
2019-02,Anxiety Disorders,Age,12-17 years,2112
2019-02,Anxiety Disorders,Age,18-34 years,3097
2019-02,Anxiety Disorders,Age,35-64 years,3345
2019-02,Anxiety Disorders,Age,65+ years,2496
2019-02,Anxiety Disorders,Age,All,2581
2019-01,Anxiety Disorders,Age,12-17 years,2115
2019-01,Anxiety Disorders,Age,18-34 years,2941
2019-01,Anxiety Disorders,Age,35-64 years,3268
2019-01,Anxiety Disorders,Age,65+ years,2408
2019-01,Anxiety Disorders,Age,All,2528
2025-12,Any Mental Health,Age,12-17 years,6169
2025-12,Any Mental Health,Age,18-34 years,5365
2025-12,Any Mental Health,Age,35-64 years,5750
2025-12,Any Mental Health,Age,65+ years,4536
2025-12,Any Mental Health,Age,All,4707
2025-11,Any Mental Health,Age,12-17 years,7439
2025-11,Any Mental Health,Age,18-34 years,5951
2025-11,Any Mental Health,Age,35-64 years,6190
2025-11,Any Mental Health,Age,65+ years,4836
2025-11,Any Mental Health,Age,All,5204
2025-10,Any Mental Health,Age,12-17 years,7479
2025-10,Any Mental Health,Age,18-34 years,6022
2025-10,Any Mental Health,Age,35-64 years,6189
2025-10,Any Mental Health,Age,65+ years,4827
2025-10,Any Mental Health,Age,All,5284
2025-09,Any Mental Health,Age,12-17 years,7020
2025-09,Any Mental Health,Age,18-34 years,5957
2025-09,Any Mental Health,Age,35-64 years,6063
2025-09,Any Mental Health,Age,65+ years,4747
2025-09,Any Mental Health,Age,All,5201
2025-08,Any Mental Health,Age,12-17 years,6530
2025-08,Any Mental Health,Age,18-34 years,5954
2025-08,Any Mental Health,Age,35-64 years,6056
2025-08,Any Mental Health,Age,65+ years,4681
2025-08,Any Mental Health,Age,All,5169
2025-07,Any Mental Health,Age,12-17 years,7013
2025-07,Any Mental Health,Age,18-34 years,6073
2025-07,Any Mental Health,Age,35-64 years,6118
2025-07,Any Mental Health,Age,65+ years,4619
2025-07,Any Mental Health,Age,All,5249
2025-06,Any Mental Health,Age,12-17 years,7108
2025-06,Any Mental Health,Age,18-34 years,6132
2025-06,Any Mental Health,Age,35-64 years,6147
2025-06,Any Mental Health,Age,65+ years,4645
2025-06,Any Mental Health,Age,All,5242
2025-05,Any Mental Health,Age,12-17 years,7408
2025-05,Any Mental Health,Age,18-34 years,6066
2025-05,Any Mental Health,Age,35-64 years,6134
2025-05,Any Mental Health,Age,65+ years,4644
2025-05,Any Mental Health,Age,All,5190
2025-04,Any Mental Health,Age,12-17 years,7389
2025-04,Any Mental Health,Age,18-34 years,6099
2025-04,Any Mental Health,Age,35-64 years,6159
2025-04,Any Mental Health,Age,65+ years,4686
2025-04,Any Mental Health,Age,All,5219
2025-03,Any Mental Health,Age,12-17 years,7364
2025-03,Any Mental Health,Age,18-34 years,6022
2025-03,Any Mental Health,Age,35-64 years,6127
2025-03,Any Mental Health,Age,65+ years,4741
2025-03,Any Mental Health,Age,All,5177
2025-02,Any Mental Health,Age,12-17 years,6512
2025-02,Any Mental Health,Age,18-34 years,5699
2025-02,Any Mental Health,Age,35-64 years,5812
2025-02,Any Mental Health,Age,65+ years,4571
2025-02,Any Mental Health,Age,All,4884
2025-01,Any Mental Health,Age,12-17 years,6470
2025-01,Any Mental Health,Age,18-34 years,5521
2025-01,Any Mental Health,Age,35-64 years,5718
2025-01,Any Mental Health,Age,65+ years,4548
2025-01,Any Mental Health,Age,All,4780
2024-12,Any Mental Health,Age,12-17 years,6014
2024-12,Any Mental Health,Age,18-34 years,5446
2024-12,Any Mental Health,Age,35-64 years,5656
2024-12,Any Mental Health,Age,65+ years,4415
2024-12,Any Mental Health,Age,All,4613
2024-11,Any Mental Health,Age,12-17 years,6798
2024-11,Any Mental Health,Age,18-34 years,5947
2024-11,Any Mental Health,Age,35-64 years,6086
2024-11,Any Mental Health,Age,65+ years,4586
2024-11,Any Mental Health,Age,All,5023
2024-10,Any Mental Health,Age,12-17 years,6892
2024-10,Any Mental Health,Age,18-34 years,6032
2024-10,Any Mental Health,Age,35-64 years,6023
2024-10,Any Mental Health,Age,65+ years,4545
2024-10,Any Mental Health,Age,All,5087
2024-09,Any Mental Health,Age,12-17 years,6710
2024-09,Any Mental Health,Age,18-34 years,6033
2024-09,Any Mental Health,Age,35-64 years,5969
2024-09,Any Mental Health,Age,65+ years,4544
2024-09,Any Mental Health,Age,All,5090
2024-08,Any Mental Health,Age,12-17 years,6295
2024-08,Any Mental Health,Age,18-34 years,6053
2024-08,Any Mental Health,Age,35-64 years,5983
2024-08,Any Mental Health,Age,65+ years,4473
2024-08,Any Mental Health,Age,All,5094
2024-07,Any Mental Health,Age,12-17 years,6559
2024-07,Any Mental Health,Age,18-34 years,6050
2024-07,Any Mental Health,Age,35-64 years,5949
2024-07,Any Mental Health,Age,65+ years,4451
2024-07,Any Mental Health,Age,All,5110
2024-06,Any Mental Health,Age,12-17 years,6519
2024-06,Any Mental Health,Age,18-34 years,5998
2024-06,Any Mental Health,Age,35-64 years,5947
2024-06,Any Mental Health,Age,65+ years,4437
2024-06,Any Mental Health,Age,All,5047
2024-05,Any Mental Health,Age,12-17 years,7072
2024-05,Any Mental Health,Age,18-34 years,5999
2024-05,Any Mental Health,Age,35-64 years,5974
2024-05,Any Mental Health,Age,65+ years,4437
2024-05,Any Mental Health,Age,All,5024
2024-04,Any Mental Health,Age,12-17 years,7256
2024-04,Any Mental Health,Age,18-34 years,6112
2024-04,Any Mental Health,Age,35-64 years,6053
2024-04,Any Mental Health,Age,65+ years,4533
2024-04,Any Mental Health,Age,All,5106
2024-03,Any Mental Health,Age,12-17 years,7020
2024-03,Any Mental Health,Age,18-34 years,6070
2024-03,Any Mental Health,Age,35-64 years,6068
2024-03,Any Mental Health,Age,65+ years,4551
2024-03,Any Mental Health,Age,All,5057
2024-02,Any Mental Health,Age,12-17 years,6885
2024-02,Any Mental Health,Age,18-34 years,6052
2024-02,Any Mental Health,Age,35-64 years,6049
2024-02,Any Mental Health,Age,65+ years,4556
2024-02,Any Mental Health,Age,All,5040
2024-01,Any Mental Health,Age,12-17 years,7067
2024-01,Any Mental Health,Age,18-34 years,5929
2024-01,Any Mental Health,Age,35-64 years,5920
2024-01,Any Mental Health,Age,65+ years,4588
2024-01,Any Mental Health,Age,All,5027
